iter	Passed	Remaining
0	17	17157
1	39	19569
2	60	20009
3	77	19178
4	93	18640
5	110	18273
6	126	17952
7	142	17728
8	162	17930
9	185	18320
10	206	18589
11	229	18866
12	252	19136
13	274	19311
14	296	19448
15	318	19561
16	340	19660
17	363	19833
18	411	21265
19	433	21228
20	453	21138
21	474	21109
22	496	21089
23	517	21041
24	539	21032
25	560	21006
26	582	21008
27	605	21005
28	631	21151
29	655	21209
30	678	21215
31	706	21373
32	728	21353
33	750	21316
34	772	21310
35	824	22083
36	846	22037
37	866	21926
38	882	21756
39	907	21777
40	925	21649
41	946	21594
42	968	21554
43	990	21521
44	1010	21438
45	1032	21420
46	1054	21382
47	1076	21350
48	1098	21326
49	1121	21308
50	1143	21276
51	1165	21247
52	1186	21204
53	1208	21177
54	1235	21236
55	1258	21214
56	1280	21192
57	1300	21117
58	1318	21036
59	1337	20951
60	1359	20926
61	1380	20891
62	1402	20860
63	1424	20838
64	1445	20795
65	1467	20765
66	1488	20728
67	1508	20680
68	1528	20625
69	1553	20645
70	1574	20604
71	1597	20584
72	1615	20514
73	1632	20425
74	1649	20337
75	1665	20244
76	1681	20159
77	1698	20076
78	1714	19992
79	1731	19911
80	1747	19829
81	1764	19754
82	1781	19676
83	1797	19605
84	1813	19522
85	1830	19455
86	1847	19384
87	1863	19315
88	1887	19315
89	1909	19306
90	1933	19315
91	1955	19300
92	1977	19282
93	1998	19261
94	2015	19198
95	2031	19133
96	2048	19072
97	2065	19009
98	2082	18950
99	2098	18888
100	2119	18861
101	2142	18866
102	2163	18841
103	2179	18775
104	2196	18719
105	2212	18662
106	2227	18594
107	2244	18539
108	2261	18486
109	2278	18431
110	2294	18377
111	2311	18324
112	2327	18272
113	2344	18224
114	2361	18175
115	2377	18121
116	2393	18061
117	2409	18013
118	2426	17965
119	2443	17916
120	2459	17869
121	2476	17823
122	2493	17779
123	2509	17729
124	2526	17685
125	2542	17638
126	2558	17588
127	2575	17548
128	2592	17503
129	2609	17461
130	2626	17419
131	2642	17377
132	2659	17335
133	2676	17294
134	2691	17246
135	2708	17206
136	2723	17158
137	2740	17117
138	2756	17077
139	2773	17039
140	2790	17001
141	2806	16959
142	2822	16917
143	2839	16878
144	2856	16841
145	2873	16805
146	2889	16766
147	2906	16730
148	2923	16695
149	2939	16658
150	2957	16627
151	2974	16591
152	2989	16552
153	3006	16518
154	3023	16485
155	3041	16452
156	3057	16414
157	3074	16382
158	3090	16348
159	3107	16312
160	3123	16277
161	3140	16244
162	3157	16211
163	3173	16179
164	3189	16141
165	3205	16103
166	3221	16068
167	3238	16035
168	3254	16004
169	3271	15972
170	3288	15944
171	3304	15905
172	3320	15873
173	3336	15838
174	3352	15806
175	3369	15774
176	3385	15740
177	3410	15749
178	3427	15722
179	3445	15697
180	3466	15683
181	3482	15652
182	3499	15623
183	3516	15593
184	3532	15562
185	3549	15532
186	3566	15503
187	3582	15474
188	3598	15442
189	3615	15413
190	3630	15377
191	3646	15344
192	3673	15361
